"query","lat","lon"
"743 EAST 6TH STREET, Manhattan",40.72289935,-73.977399860395
"189 EAST 7TH STREET, Manhattan",40.7249346,-73.9805148
"166 AVENUE A, Manhattan",40.7281104,-73.9817422779479
"263 EAST 7TH STREET, Manhattan",40.7236251,-73.9774113952752
"604 EAST 11TH STREET, Manhattan",40.72711745,-73.9791611694106
"483 WEST 22ND STREET, Manhattan",40.746996,-74.00411
"323 WEST 22ND STREET, Manhattan",40.7452557,-74.0000028946071
"218 WEST 15TH STREET, Manhattan",40.7395764,-74.000218
"253 WEST 18TH STREET, Manhattan",40.7421191,-74.0000170196133
"355 WEST 21ST STREET, Manhattan",40.7451152,-74.0016880453245
"94 8 AVENUE, Manhattan",40.7896239,-73.9598939
"253 WEST 21ST STREET, Manhattan",40.74382825,-73.99862535
"213 WEST 22ND STREET, Manhattan",40.74376285,-73.9965429497387
"278 WEST 25TH STREET, Manhattan",40.7462771,-73.9971913
"448 WEST 25TH STREET, Manhattan",40.7485171,-74.0025311135621
"211 WEST 22ND STREET, Manhattan",40.7437411,-73.9964913209891
"64 EAST 7TH STREET, Manhattan",40.7273388,-73.9870908108949
"169 1 AVENUE, Manhattan",40.7704516,-73.9540664
"169 FIRST AVENUE, Manhattan",47.6124577,-122.322997704061
"125 EAST 10TH STREET, Manhattan",40.73034775,-73.9877232150983
"123 EAST 10TH STREET, Manhattan",40.7303708,-73.9877663347667
"302 EAST 6TH STREET, Manhattan",40.72714305,-73.9882461094064
"42 STUYVESANT STREET, Manhattan",40.7298594,-73.9876807042771
"30 EAST 3RD STREET, Manhattan",40.72566195,-73.9904405
"127 EAST 26TH STREET, Manhattan",40.74176065,-73.9837562550611
"217 EAST 17TH STREET, Manhattan",40.73497425,-73.9848144452713
"219 EAST 17TH STREET, Manhattan",40.7349529,-73.9847677058164
"235 EAST 22ND STREET, Manhattan",40.737428,-73.9816241
"186 SULLIVAN STREET, Manhattan",40.7284984,-74.00090545
"60 WEST 9TH STREET, Manhattan",40.7338254,-73.9986283828454
"11 WEST 12TH STREET, Manhattan",40.73508895,-73.9950552608679
"167 CROSBY STREET, Manhattan",40.7258923,-73.995136
"37 WEST 11TH STREET, Manhattan",40.73478785,-73.9964260365181
"17 ST LUKES PLACE, Manhattan",40.7302048,-74.0053335
"51 BARROW STREET, Manhattan",40.73197215,-74.00438535
"15 COMMERCE STREET, Manhattan",40.73185885,-74.0042368702845
"146 WAVERLY PLACE, Manhattan",40.733142,-74.0008924313212
"121 LEROY STREET, Manhattan",40.7304015,-74.0078566666667
"95 BARROW STREET, Manhattan",40.73159855,-74.0070589819149
"109 WEST 11TH STREET, Manhattan",40.73576935,-73.998668176365
