Store Name,Street Address,Address,Borough,"Zip 
Code",Year Awarded,"Program 
Wave",Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Rivas Deli Grocery,651,East 183rd Street,Bronx,10458,2013,1,40.852568,-73.887484,6,15,391,2012464,2030870033,Belmont
C-Town,1761,Southern Boulevard,Bronx,10460,2013,1,40.837267,-73.888016,3,17,155,2009878,2029400047,Crotona Park East
La India Mini Market,1942,Marmion Avenue,Bronx,10460,2013,1,40.842942,-73.887136,6,17,36502,2010156,2029600059,East Tremont
Los Hermanos,2019,Vyse Avenue,Bronx,10460,2013,1,40.842391,-73.881835,6,17,363,2013203,2031270020,East Tremont
Price Choice Food Market,820,East 180th Street,Bronx,10460,2013,1,40.846173,-73.884871,6,15,36501,2012955,2031080008,East Tremont
D&A Deli Grocery,1155,East Tremont Avenue,Bronx,10460,2013,1,40.839889,-73.875193,6,15,220,2042470,2040070022,East Tremont
Lucky Star Gourmet Deli,856,East 188th Street,Bronx,10460,2013,1,,,,,,,,
Food Choice,333,East 184th Street,Bronx,10458,2013,1,40.858274,-73.896071,5,15,39902,2010979,2030220001,Bedford Park-Fordham North
Cache Grocery,804,East 178th Street,Bronx,10460,2013,1,40.844534,-73.887046,6,17,36501,2012942,2031070004,East Tremont
Associated Supermarket,1334,Louis Nine Boulevard,Bronx,10459,2013,1,40.831441,-73.892279,3,17,123,2118405,2029767501,Crotona Park East
AZ Deli,1093A,Southern Boulevard,Bronx,10459,2013,1,40.825924,-73.89193,2,17,12701,2005806,2027270045,Hunts Point
Price Choice Food Market,807,Tremont Avenue,Bronx,10460,2013,1,,,,,,,,
Key Foods,1050,Westchester Boulevard,Bronx,10459,2013,1,,,,,,,,
Pioneer Supermarket,2865,Webester Avenue,Bronx,10458,2013,1,,,,,,,,
Compare Foods,4800,Park Avenue,Bronx,10458,2013,1,,,,,,,,
Met Supermarket,277,198th Street,Bronx,10458,2013,1,,,,,,,,
EEJ Deli,550,East 187th Street,Bronx,10458,2013,1,40.856355,-73.889094,6,15,387,2011662,2030540022,Belmont
Santana,4664,Park Avenue,Bronx,10458,2013,1,40.85817,-73.892869,6,15,385,2011392,2030400007,Claremont-Bathgate
FineFare,1472,Boston Road,Bronx,10460,2013,1,40.834232,-73.89488,3,16,153,2010262,2029640042,Crotona Park East
Deli Grocery,275,East Kingsbridge Road,Bronx,10458,2013,1,40.863691,-73.894244,7,15,39901,2016817,2032930106,Bedford Park-Fordham North
965 Castillo Meat and Produce,965,East 172nd Street,Bronx,10460,2013,1,40.833364,-73.887683,3,17,157,2010797,2029960049,Crotona Park East
Santos,2641,Bainbridge Avenue,Bronx,10458,2013,1,40.864814,-73.892048,7,15,40501,2016832,2032940001,Bedford Park-Fordham North
Alondra Food Corp.,838,East 180th Street,Bronx,10460,2013,1,40.8457,-73.883911,6,17,363,2088384,2031180157,East Tremont
Brianelly,2308,Washington Avenue,Bronx,10458,2013,1,40.855606,-73.892808,6,15,385,2011628,2030530062,Claremont-Bathgate
Emerald Food Store,2709-11,Briggs Avenue,Bronx,10458,2013,1,40.866359,-73.891673,7,15,40501,2115734,2033000055,Bedford Park-Fordham North
Bx Supermarket/Compare Foods,312,E. 194th Street,Bronx,10458,2013,1,40.864421,-73.891799,7,15,39901,2016607,2032870008,Bedford Park-Fordham North
1030 Deli & Food Corp,1030,East Tremont Avenue,Bronx,10460,2013,1,40.840342,-73.88087,6,17,359,2010893,2030050065,East Tremont
"Kelvin Food Mart, Inc",724,East 187th Street,Bronx,10458,2013,1,40.853863,-73.883499,6,15,393,2092312,2031020029,Belmont
Stop One,2431,Hoffman Street,Bronx,10458,2013,1,40.856754,-73.887821,6,15,387,,,Belmont
A-Mart,2433,Hoffman Street,Bronx,10458,2013,1,40.857023,-73.887585,6,15,387,2011809,2030580105,Belmont
Modern Food,2385,Arthur Avenue,Bronx,10458,2013,1,40.855237,-73.887849,6,15,391,2011890,2030650033,Belmont
Mickey & Elvis College,717,East 187th Street,Bronx,10458,2013,1,40.854025,-73.883997,6,15,389,2012928,2031050058,Belmont
Bronx Zoo Deli Corp,732,East 187th Street,Bronx,10460,2013,1,40.853821,-73.883351,6,15,393,2012837,2031020030,Belmont
548 Gourmet Deli,548,East 183rd Street,Bronx,10458,2013,1,40.854186,-73.891042,6,15,385,2011589,2030510031,Claremont-Bathgate
Danery's Grocery Corp.,765,East 175th Street,Bronx,10460,2013,1,40.841486,-73.891125,6,17,367,2010014,2029530001,East Tremont
Will Grocery & Meat Market,1492,Vyse Avenue,Bronx,10460,2013,1,40.833029,-73.888186,3,17,157,2010757,2029950017,Crotona Park East
A & G Gourmet Deli,2132,Mohegan Avenue,Bronx,10460,2013,1,40.84641,-73.882688,6,15,363,2013164,2031240043,East Tremont
Caña Arriba,1465,Bryant Avenue,Bronx,10460,2013,1,40.831953,-73.887823,3,17,157,2010773,2029950042,Crotona Park East
885 East Tremont Deli,885,East Tremont Avenue,Bronx,10460,2013,1,40.842463,-73.885123,6,17,363,2013110,2031210002,East Tremont
Pioneer Supermarket,2865,Webester Avenue,Bronx,10458,2013,1,,,,,,,,
Compare Foods,4800,Park Avenue,Bronx,10458,2013,1,,,,,,,,
Tejada Castillo Food Corporation,1675,Boston Road,Bronx,10458,2013,1,40.836404,-73.889409,3,17,155,2009883,2029400065,Crotona Park East
Tony's Family,526,East 183rd Street,Bronx,10458,2013,1,40.854678,-73.891945,6,15,385,2011560,2030500066,Claremont-Bathgate
Compare Foods,2477,Valentine Avenue,Bronx,10458,2013,1,40.86156,-73.896196,5,15,23702,2013602,2031530031,Bedford Park-Fordham North
20/20 Deli,1120,Southern Boulevard,Bronx,10459,2014,2,40.827058,-73.891896,3,17,125,2006049,2027450001,Morrisania-Melrose
543 Deli,543,Southern Boulevard,Bronx,10455,2014,2,40.812296,-73.90361,2,17,83,2005080,2026830001,Longwood
908 Garcia Fruit and Grocery,908,East 163rd Street,Bronx,10459,2014,2,40.821006,-73.898026,2,17,87,2005349,2026960103,Longwood
Alan Deli Grocery,798,East 170th Street,Bronx,10459,2014,2,40.833138,-73.89559,3,16,153,2010216,2029630012,Crotona Park East
Amelia Grocery,954,Prospect Avenue,Bronx,10459,2014,2,40.822696,-73.900354,2,17,12901,2005207,2026900105,Longwood
Asociados Meat Market,1025,Westchester Avenue,Bronx,10459,2014,2,40.824114,-73.893017,2,17,12701,2095487,2027260070,Hunts Point
Associated Supermarket,1334,Louis Nine Boulevard,Bronx,10459,2014,2,40.831441,-73.892279,3,17,123,2118405,2029767501,Crotona Park East
Celia,966,Longwood Avenue,Bronx,10459,2014,2,40.817424,-73.898101,2,8,85,2005569,2027080046,Longwood
Crystal Grocery,1090,Longfellow Avenue,Bronx,10459,2014,2,40.826005,-73.887826,2,17,12102,2006286,2027570066,Hunts Point
Deli Farm Meat and Grocery,850,Longwood Avenue,Bronx,10459,2014,2,40.819376,-73.901378,2,17,85,2005169,2026880048,Longwood
El Patio Grocery,643,Wales Avenue/766 E 152 ST,Bronx,10455,2014,2,,,,,,,,
Fair Farm,950,Westchester Avenue,Bronx,10459,2014,2,40.822388,-73.896326,2,17,87,2114693,2027037501,Longwood
Genao Food Store,926,Intervale Avenue,Bronx,10459,2014,2,40.819986,-73.896695,2,17,87,2005450,2027030001,Longwood
Home Street Deli,-892,894 Home Street,Bronx,10459,2014,2,,,,,,,,
Ivoire African Market,1339,Prospect Avenue,Bronx,10459,2014,2,40.829569,-73.897522,3,17,151,2010310,2029680008,Morrisania-Melrose
J&W Food Center,990,Leggett Avenue,Bronx,10455,2014,2,40.814565,-73.899875,2,17,83,2005101,2026840076,Longwood
Los Hermanos Meat & Grocery,501B,Jackson Avenue,Bronx,10455,2014,2,40.812032,-73.909517,1,8,35,2003696,2025570078,Mott Haven-Port Morris
Luis & Angie Deli Grocery,976,Prospect Avenue,Bronx,10459,2014,2,40.823225,-73.900133,2,17,12901,2005212,2026900119,Longwood
Paulino Deli Grocery,798,Hunts Point Avenue,Bronx,10474,2014,2,40.816473,-73.887795,2,17,117,2006548,2027630190,Hunts Point
REAL Supermarket,818,Westchester Ave. (795 Prospect Ave.),Bronx,10459,2014,2,40.819173,-73.902571,1,17,79,2004992,2026760049,Melrose South-Mott Haven North
Salgados Superette,1131,West Farms Road,Bronx,10459,2014,2,40.82643,-73.890307,2,17,12701,2006048,2027440063,Hunts Point
South Side Food,726,East 152nd Street,Bronx,10455,2014,2,40.816005,-73.907976,1,8,73,2004560,2026430013,Melrose South-Mott Haven North
Super Deli Grocery Store,740,East 149th Street,Bronx,10455,2014,2,40.813082,-73.908389,1,8,35,2003927,2025790025,Mott Haven-Port Morris
Top Quality,1019,SIimpson Street,Bronx,10459,2014,2,,,,,,,,
Torres Meat & Grocery,950,Longwood Avenue,Bronx,10459,2014,2,40.817614,-73.898415,2,8,85,2005568,2027080040,Longwood
Union Foods,835,East152nd Street,Bronx,10455,2014,2,40.815242,-73.904242,1,17,79,2004919,2026750001,Melrose South-Mott Haven North
VR Vegetable N Grocery,928,Sothern Boulevard,Bronx,10459,2014,2,,,,,,,,
3368 Cypress Deli & Grocery,3368,Fulton Street,Brooklyn,11208,2015,2,40.683854,-73.871439,5,37,1184,3092807,3041470039,Cypress Hills-City Line
Apple Deli and Grill,1203,Sutter Avenue,Brooklyn,11208,2015,2,40.672551,-73.873509,5,42,1196,3095362,3042480001,East New York
Bangla Supermarket,1211,Liberty Avenue,Brooklyn,11208,2015,2,40.678988,-73.864858,5,37,1188,3094137,3041840065,Cypress Hills-City Line
Claribel Deli & Grocery,241,Ridgewood Avenue,Brooklyn,11208,2015,2,40.683696,-73.87966,5,37,1174,3086802,3039160030,Cypress Hills-City Line
Dari's Grocery,224,Lincoln Avenue,Brooklyn,11208,2015,2,40.684755,-73.869599,5,37,1184,3092433,3041330054,Cypress Hills-City Line
