"SALE.PRICE","num_schools","num_food","num_parks","num_subway","RESIDENTIAL.UNITS","LAND.SQUARE.FEET","neighborhood_ord"
1.3e+07,0,0,18,0,1,1434,13
7200000,0,0,14,1,1,1839,15
11200000,2,0,20,6,1,1665,12
1550000,0,0,13,0,1,1081,5
19900000,3,1,5,5,1,2581,12
6800000,0,0,41,3,3,1575,12
4800000,0,0,12,1,2,1400,15
8e+06,0,6,20,2,1,2013,15
13450000,5,0,43,4,2,2350,14
2300000,4,2,52,2,3,1665,5
4675000,4,1,15,2,1,1839,8
2.3e+07,0,0,13,0,2,2086,15
1450000,7,0,10,1,3,5167,4
6367000,0,0,21,2,2,1510,15
11291873,2,0,17,1,1,1738,12
7350000,2,0,16,3,1,1324,7
7650000,2,0,16,3,1,1324,7
906500,0,10,22,1,2,847,1
3700000,3,1,20,3,2,1407,10
14999999,0,0,14,3,2,3065,15
6500000,0,1,30,2,1,1711,8
7011000,7,1,31,3,1,1808,8
4900000,0,1,28,2,2,1661,8
7500000,0,0,13,3,2,1916,15
1.8e+07,2,0,25,6,2,2913,12
8275000,4,1,16,2,1,1941,8
8668750,0,0,13,1,1,1873,15
1589000,2,0,38,3,2,673,3
9750000,4,0,27,4,1,2008,15
4080000,3,0,18,4,2,1975,9
5050000,0,6,28,2,1,1672,15
17400000,0,0,34,3,1,2158,12
6e+06,2,0,38,4,1,840,12
14300000,0,0,13,0,1,2567,15
9250000,0,0,17,1,2,1971,15
16500000,0,1,4,2,1,2554,8
3845000,0,0,15,0,1,725,15
4650000,2,5,27,2,2,1888,15
7225000,0,0,12,1,1,1839,15
6950000,0,0,12,3,1,1572,15
5600000,2,0,42,5,3,1600,12
1.3e+07,0,0,16,0,2,2568,13
9995000,1,0,23,3,1,1908,15
8200000,4,0,17,2,1,1632,15
642000,7,0,17,2,2,3000,4
8750000,0,0,11,2,2,2087,15
2350000,1,0,31,4,2,2952,12
1.1e+07,4,0,20,2,1,2510,15
5775000,1,0,21,2,3,2013,15
1.4e+07,1,1,13,1,1,2317,7
7100000,2,0,37,5,1,1392,12
1100000,7,0,14,1,2,2800,4
11125000,0,0,11,2,2,1839,15
13125000,2,0,49,4,1,2252,12
8900000,0,1,29,6,1,1062,12
9999999,1,0,19,3,1,1808,15
2575000,5,1,53,2,1,1699,5
3400000,0,1,11,2,1,1296,13
4700000,10,0,29,2,2,1380,10
2421900,9,0,29,6,1,2141,11
5497500,10,0,28,2,2,1380,10
5425000,1,0,18,3,2,2209,15
17425000,0,1,29,5,2,1784,12
3450000,0,1,34,4,1,1716,12
18200000,0,1,8,2,1,2554,8
5425000,1,0,17,3,1,2209,15
6700000,1,1,7,1,2,1830,15
14100000,0,1,30,6,1,1248,12
425000,2,1,21,0,2,1650,10
10750000,4,0,13,3,1,1788,15
4687500,3,1,24,1,2,1761,9
6400000,1,0,18,3,2,2008,15
8e+06,0,1,29,5,1,1100,12
2640000,1,2,63,2,3,1682,5
12300000,4,1,18,1,2,2820,2
16250000,4,0,10,2,1,2000,8
1.9e+07,0,1,10,0,1,1764,12
12709140,9,2,20,6,1,1521,11
1075000,5,1,45,2,2,1665,5
17450000,0,1,29,3,1,1400,12
7100000,0,0,13,1,2,1201,15
6300000,0,0,51,0,3,2430,7
5750000,0,0,24,2,1,1063,8
4100000,1,2,23,3,2,937,11
