"home_ID","ADDRESS","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","BLOCK","LOT","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","lat","lon","num_schools","num_food","num_parks","num_subway","neighborhood_ord"
1,"1 SUTTON PLACE, Manhattan","MIDTOWN EAST","01 ONE FAMILY DWELLINGS",1372,26,10022,1,0,"1","1,434","5,339",1920,1,"A7",1.3e+07,"10/8/19",40.7573804,-73.9603084,0,0,18,0,13
2,"106 EAST 78TH STREET, Manhattan","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS",1412,68,10075,1,1,"2","1,839","4,344",1899,1,"S1",7200000,"6/10/19",40.7745662,-73.9605612037626,0,0,14,1,15
3,"109 WEST 11TH STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",607,50,10011,1,0,"1","1,665","4,060",1899,1,"A4",11200000,"5/22/19",40.73576935,-73.998668176365,2,0,20,6,12
4,"11 EAST 129 STREET, Manhattan","HARLEM-CENTRAL","01 ONE FAMILY DWELLINGS",1754,8,10035,1,0,"1","1,081","2,800",1905,1,"A4",1550000,"8/22/19",40.7552312,-73.9618459,0,0,13,0,5
5,"11 WEST 12TH STREET, Manhattan","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS",576,48,10011,1,0,"1","2,581","8,125",1910,1,"A4",19900000,"6/14/19",40.73508895,-73.9950552608679,3,1,5,5,12
6,"110 WASHINGTON PLACE, Manhattan","GREENWICH VILLAGE-WEST","03 THREE FAMILY DWELLINGS",592,14,10014,3,0,"3","1,575","2,646",1899,1,"C0",6800000,"4/15/19",40.732422,-74.001152,0,0,41,3,12
7,"1129 LEXINGTON AVENUE, Manhattan","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS",1413,120,10075,2,1,"3","1,400","5,248",1910,1,"S2",4800000,"4/17/19",40.7744718,-73.9589512919014,0,0,12,1,15
8,"115 MANHATTAN AVENUE, Manhattan","MANHATTAN VALLEY","02 TWO FAMILY DWELLINGS",1840,152,10025,2,0,"2","900","3,600",1899,1,"B1",10,"2/11/20",40.79783025,-73.9623271,1,1,27,2,8
9,"116 EAST 95TH STREET, Manhattan","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1523,68,10128,1,0,"1","2,013","4,160",1899,1,"A9",8e+06,"3/20/20",40.7854848,-73.9525869305107,0,6,20,2,15
10,"116 SULLIVAN STREET, Manhattan","SOHO","02 TWO FAMILY DWELLINGS",504,29,10012,2,0,"2","2,350","5,446",1900,1,"B1",13450000,"3/2/20",40.72612865,-74.0028564419192,5,0,43,4,14
11,"116 WEST 130TH STREET, Manhattan","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS",1914,41,10027,3,0,"3","1,665","3,476",1910,1,"C0",2300000,"4/19/19",40.8111524,-73.9441186582131,4,2,52,2,5
12,"116 WEST 80TH STREET, Manhattan","UPPER WEST SIDE (79-96)","01 ONE FAMILY DWELLINGS",1210,142,10024,1,0,"1","1,839","5,520",1910,1,"A4",4675000,"8/2/19",40.78287565,-73.9760392414117,4,1,15,2,8
13,"12 EAST 81ST STREET, Manhattan","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1492,64,10028,2,0,"2","2,086","6,840",1901,1,"B1",2.3e+07,"6/25/19",40.77780575,-73.9620607070807,0,0,13,0,15
14,"12 FORT CHARLES PLACE, Manhattan","INWOOD","03 THREE FAMILY DWELLINGS",2215,487,10463,3,0,"3","5,167","4,410",1901,1,"C0",1450000,"7/3/19",40.8755052,-73.9108951995363,7,0,10,1,4
15,"121 EAST 91ST STREET, Manhattan","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS",1520,109,10128,2,0,"2","1,510","3,556",1901,1,"B1",6367000,"4/8/19",40.7831266,-73.9538620230047,0,0,21,2,15
16,"121 LEROY STREET, Manhattan","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS",602,77,10014,1,0,"1","1,738","4,602",2017,1,"A4",11291873,"6/27/19",40.7304015,-74.0078566666667,2,0,17,1,12
17,"123 EAST 10TH STREET, Manhattan","EAST VILLAGE","01 ONE FAMILY DWELLINGS",466,46,10003,1,0,"1","1,324","2,385",1899,1,"A7",7350000,"6/28/19",40.7303708,-73.9877663347667,2,0,16,3,7
18,"125 EAST 10TH STREET, Manhattan","EAST VILLAGE","01 ONE FAMILY DWELLINGS",466,45,10003,1,0,"1","1,324","3,225",1901,1,"A9",7650000,"10/11/19",40.73034775,-73.9877232150983,2,0,16,3,7
19,"1255 PARK AVENUE, Manhattan","HARLEM-EAST","02 TWO FAMILY DWELLINGS",1625,1,10029,2,0,"2","847","1,650",1920,1,"B1",906500,"2/7/20",40.7871952,-73.9517228,0,10,22,1,1
20,"127 EAST 26TH STREET, Manhattan","GRAMERCY","02 TWO FAMILY DWELLINGS",882,18,10010,2,0,"2","1,407","3,080",1910,1,"B1",3700000,"6/20/19",40.74176065,-73.9837562550611,3,1,20,3,10
